historical.id,conference.id,historical.name,start.year,end.year
1,5964283,America East Conference,2003,2024
2,3572453,American Athletic Conference,2003,2024
3,2300597,Atlantic 10 Conference,2003,2024
4,8687841,Atlantic Coast Conference,2003,2024
5,7953133,Atlantic Sun Conference,2003,2024
6,8517045,Big 12 Conference,2003,2024
7,1213747,Big East Conference,2003,2024
8,140494,Big Sky Conference,2003,2024
9,4608339,Big South Conference,2003,2024
10,2876814,Big Ten Conference,2003,2024
11,8553761,Big West Conference,2003,2024
12,2933739,Conference USA,2003,2024
13,1707815,Great West Conference,2003,2013
14,5149963,Horizon League,2003,2024
15,4240488,Independent,2003,2024
16,3819012,Ivy League,2003,2024
17,8812072,Metro Atlantic Athletic Conference,2003,2024
18,3240865,Mid-American Conference,2003,2024
19,5430627,Mid-Eastern Athletic Conference,2003,2024
20,7278080,Missouri Valley Conference,2003,2024
21,2008134,Mountain West Conference,2003,2024
22,1139031,Northeast Conference,2003,2024
23,2958925,Ohio Valley Conference,2003,2024
24,853383,Patriot League,2003,2024
25,9504063,Southeastern Conference,2003,2024
26,1782371,Southern Conference,2003,2024
27,165428,Southland Conference,2003,2024
28,7646693,Southwest Athletic Conference,2003,2024
29,3927028,Sun Belt Conference,2003,2024
30,3195354,West Coast Conference,2003,2024
31,3585326,Western Athletic Conference,2003,2024
32,8524608,Colonial Athletic Association,2003,2023
33,8524608,Coastal Athletic Association,2024,2025
34,3665198,Mid-Continent Conference,2003,2007
35,3665198,Summit League,2008,2025
36,3710994,Pacific-10 Conference,2003,2012
37,3710994,Pac-12 Conference,2011,2025
